"","varcode","russian","english","five_most_popular_values","number_of_valid","number_of_missing"
"1","aid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 5-го РАУНДА ","Identification variables Round 5"," 45005 |  13004 | 136014 | 140339 |  72037 | 101004",1871,6278
"2","bid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 6-го РАУНДА ","Identification variables Round 6"," 450105 |  130004 | 1360204 | 1402602 |  590001 |  720405",1925,6224
"3","cid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 7-го РАУНДА ","Identification variables Round 7"," 130004 | 1360204 |  450105 |  590001 |  720405 |  730108",2042,6107
"4","did_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 8-го РАУНДА ","Identification variables Round 8"," 130004 | 1360204 |  450105 |  720405 |  730108 | 1070007",2219,5930
"5","eid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 9-го РАУНДА ","Identification variables 9th round"," 130004 | 1360204 | 1402602 |  450105 | 1360205 |  450905",2398,5751
"6","fid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 10-го РАУНДА ","Identification variables Round 10"," 130004 | 1360204 |  450105 | 1360205 |  450905 |  520191",2628,5521
"7","gid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 11-го РАУНДА ","Identification variables Round 11"," 130004 | 1360204 |  450105 | 2402104 |  450905 |  520191",2763,5386
"8","hid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 12-го РАУНДА ","Identification variables 12th round"," 450151 |  130004 |  450905 |  520191 |  100404 |  100604",2897,5252
"9","iid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 13-го РАУНДА ","Identification variables 13th ROUND"," 450151 |  130004 |  450905 |  100404 |  100604 |  101008",3018,5131
"10","jid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 14-го РАУНДА ","Identification variables 14 Round"," 130004 |  450151 |  450905 |  590001 |  100404 |  100604",3044,5105
"11","kid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 15-го РАУНДА ","Identification variables 15 Round"," 1300004 |  4501051 |  4509005 |  5900001 |  1004004 |  1006004",3705,4444
"12","lid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 16-ГО РАУНДА ","Identification variables 16 Round"," 1208003 |  1300004 |  4501051 |  1004004 |  1006004 |   102007",3815,4334
"13","mid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 17-ГО РАУНДА ","Identification variables 17 Round"," 4501051 |  1004004 |   102007 | 10601008 |  1204005 | 13602004",3905,4244
"14","nid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 18-ГО РАУНДА ","Identification variables 18th-round"," 45014 |  10052 |  10148 | 106008 |  12059 |  12184",4038,4111
"15","oid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 19-го РАУНДА ","Identification variables 19 Round"," 450014 | 1060008 |  120059 |  120184 | 1370004 | 1420009",5981,2168
"16","pid_h","ИДЕНТИФИКАЦИОННАЯ ПЕРЕМЕННАЯ 20-го РАУНДА ","Identification variables 20 Round","  10024 | 1060008 | 1370013 | 1370200 | 1370287 | 1382358",6537,1612
"17","popul","ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ","POPULATION","11503501 |   524669 |  4879566 |  1143535 |   973826 |   239800",8149,0
